"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, что нельзя создать двух курьеров с одинаковыми данными.","2211","Попытка создания двух курьеров с одинаковыми данными","tests","Thu Apr 24 10:32:25 GMT+07:00 2025","passed","Thu Apr 24 10:32:27 GMT+07:00 2025","TestCreateCourier","test_create_courier","",""
"Проверяет успешное создание заказа с указанием одного цвета (BLACK/GREY), обоих цветов и без указания цвета. Тело ответа содержит track.","2296","Создание заказа с различными вариантами цветов","tests","Thu Apr 24 10:32:13 GMT+07:00 2025","passed","Thu Apr 24 10:32:15 GMT+07:00 2025","TestCreateOrder","test_create_order","",""
"Проверяет, что при попытке создать курьера с логином, который уже используется, возвращается ошибка.","2547","Попытка создания курьера с существующим логином","tests","Thu Apr 24 10:32:20 GMT+07:00 2025","passed","Thu Apr 24 10:32:23 GMT+07:00 2025","TestCreateCourier","test_create_courier","",""
"Проверяет, что система возвращает ошибку, если не указан пароль.","1014","Авторизация без пароля","tests","Thu Apr 24 10:32:47 GMT+07:00 2025","passed","Thu Apr 24 10:32:48 GMT+07:00 2025","TestLoginCourier","test_login_courier","",""
"Проверяет, что система возвращает ошибку, если указан неверный пароль.","1057","Авторизация с неверным паролем","tests","Thu Apr 24 10:32:38 GMT+07:00 2025","passed","Thu Apr 24 10:32:39 GMT+07:00 2025","TestLoginCourier","test_login_courier","",""
"Проверяет успешное создание курьера с валидными данными, правильный код ответа и структуру ответа.","1357","Успешное создание курьера","tests","Thu Apr 24 10:32:19 GMT+07:00 2025","passed","Thu Apr 24 10:32:20 GMT+07:00 2025","TestCreateCourier","test_create_courier","",""
"Проверяет, что API возвращает список заказов в теле ответа при успешном запросе","1152","Проверка, что в тело ответа возвращается список заказов","tests","Thu Apr 24 10:32:49 GMT+07:00 2025","passed","Thu Apr 24 10:32:50 GMT+07:00 2025","TestOrderList","test_order_list","",""
"Проверяет успешную авторизацию курьера с корректными логином и паролем и получение id.","1184","Успешная авторизация курьера (валидные данные)","tests","Thu Apr 24 10:32:29 GMT+07:00 2025","passed","Thu Apr 24 10:32:31 GMT+07:00 2025","TestLoginCourier","test_login_courier","",""
"Проверяет, что при попытке создать курьера без логина или пароля, возвращается ошибка.","1094","Проверка создания курьера без обязательных полей","tests","Thu Apr 24 10:32:24 GMT+07:00 2025","passed","Thu Apr 24 10:32:25 GMT+07:00 2025","TestCreateCourier","test_create_courier","",""
"Проверяет успешное создание заказа с указанием одного цвета (BLACK/GREY), обоих цветов и без указания цвета. Тело ответа содержит track.","1203","Создание заказа с различными вариантами цветов","tests","Thu Apr 24 10:32:18 GMT+07:00 2025","passed","Thu Apr 24 10:32:19 GMT+07:00 2025","TestCreateOrder","test_create_order","",""
"Проверяет, что система возвращает ошибку, если указан неверный логин.","1031","Авторизация с неверным логином","tests","Thu Apr 24 10:32:34 GMT+07:00 2025","passed","Thu Apr 24 10:32:35 GMT+07:00 2025","TestLoginCourier","test_login_courier","",""
"Проверяет успешное создание заказа с указанием одного цвета (BLACK/GREY), обоих цветов и без указания цвета. Тело ответа содержит track.","1327","Создание заказа с различными вариантами цветов","tests","Thu Apr 24 10:32:16 GMT+07:00 2025","passed","Thu Apr 24 10:32:18 GMT+07:00 2025","TestCreateOrder","test_create_order","",""
"Проверяет, что при попытке создать курьера без логина или пароля, возвращается ошибка.","1156","Проверка создания курьера без обязательных полей","tests","Thu Apr 24 10:32:23 GMT+07:00 2025","passed","Thu Apr 24 10:32:24 GMT+07:00 2025","TestCreateCourier","test_create_courier","",""
"Проверяет, что система возвращает ошибку, если не указан логин.","1162","Авторизация без логина","tests","Thu Apr 24 10:32:43 GMT+07:00 2025","passed","Thu Apr 24 10:32:44 GMT+07:00 2025","TestLoginCourier","test_login_courier","",""
"Проверяет успешное создание заказа с указанием одного цвета (BLACK/GREY), обоих цветов и без указания цвета. Тело ответа содержит track.","1539","Создание заказа с различными вариантами цветов","tests","Thu Apr 24 10:32:15 GMT+07:00 2025","passed","Thu Apr 24 10:32:16 GMT+07:00 2025","TestCreateOrder","test_create_order","",""
